question_1,question_2
Bagaimana bisa menghasilkan uang secara online?,Bagaimana saya bisa menghasilkan uang secara online secara konsisten?
Berapa banyak gaji bulanan yang baik untuk hidup di Mumbai dengan sopan dengan keluarga dan dapat menabung?,Berapa rata-rata pendapatan bulanan yang diperlukan untuk menjalani kehidupan yang cukup nyaman dengan keluarga 4 di Mumbai?
Benarkah bahwa Catatan INR 2.000 baru akan disematkan dengan chip GPS nano?,dapatkah chip GPS nano dibuat dengan biaya rendah sehingga dapat tertanam dalam semua catatan Rs.2000?
Apa buku terbaik tentang pemasaran digital?,yang merupakan buku terbaik tentang pemasaran digital?
Apa rasanya hidup di RV atau trailer?,Bagaimana rasanya hidup dalam RV penuh waktu?
Bagaimana saya bisa memulihkan pengaturan pabrik saya ke laptop Dell 3521 saya?,Bagaimana Anda mengembalikan Dell Inspiron 1525 ke pengaturan pabrik?
Saya ingin diri saya dan hidup saya untuk mengubah 360 derajat. Apa yang harus saya lakukan?,Saya ingin membawa perubahan pada diri saya sendiri. Apa yang harus saya lakukan pertama?
Apa manfaat minum teh hijau dua kali sehari?,Apa manfaat dari teh hijau lipton? Apakah sehat untuk meminumnya dua kali sehari?
Bagaimana saus tiram dibuat?,Apa itu saus tiram?
Berikan nama dari beberapa film horor terbaik?,Apa saja film horor terbaik?
Mengapa Anda percaya pada astrologi?,Apakah Anda percaya pada astrologi dan mengapa?
Apa argumen terbaik Anda tentang mengapa saya harus memilih Trump?,Haruskah saya memilih Trump?
Apa yang terjadi jika Anda hanya tidur 3 jam per malam?,Bagaimana jika saya tidur selama 2-3 jam setiap malam?
Apa yang akan / akan dibutuhkan untuk keterampilan inti konsultasi SAP?,Apa yang dibutuhkan untuk keterampilan inti konsultasi SAP?
Bagaimana Anda dapat meningkatkan keterampilan komunikasi Anda?,Bagaimana saya dapat meningkatkan keterampilan komunikasi saya secara khusus pengucapan?
Bisakah jumlah dua vektor sama dengan vektor?,Bisakah jumlah magnituds dari dua vektor yang sama dengan besarnya jumlah dari dua vektor yang sama?
Bisakah saya menggunakan Reliance Jio Sim di 3G Mobile?,Bisakah saya menggunakan Jio Sim dalam 3G?
Apakah Anda pernah merindukan mantan pacar Anda (mantan pacar)? Kenapa dan kapan?,Apakah Anda pernah merindukan mantan pacar Anda atau mantan pacar Anda? Kapan dan mengapa?
Apa saja teknologi pukulan pikiran yang kebanyakan orang tidak tahu?,Apa saja pikiran yang meniup gadget yang ada yang kebanyakan orang tidak tahu?
Apa yang membuat kulit Italia begitu istimewa?,Mengapa kulit Italia lebih baik daripada jenis kulit lainnya?
Bagaimana saya berhubungan dengan hacker yang baik?,Bagaimana saya menghubungi peretas etis?
Seberapa baik seorang raja yang akan menjadi Stannis?,akan Stannis Baratheon telah membuat raja yang baik?
"Mengapa Quora melakukan ini ""ditandai sebagai perbaikan yang diperlukan?","Quora terus mengatakan bahwa pertanyaan saya"" ditandai sebagai perbaikan perlu "". Apa artinya ini dan bagaimana saya bisa memperbaikinya?"
Mengapa Lil Wayne dianggap berada di Illuminati?,adalah Lil Wayne di Illuminati?
Apa yang dimaksud dengan Bursa Efek?,Apa yang dimaksud dengan Bursa Efek?
Siapa orang terpintar di Quora?,Siapa orang yang paling cerdas di Quora?
Apa lagu favoritmu sekarang?,Apa lagu favorit Anda sekarang?
Apa buku-buku terbaik yang pernah dibaca setiap orang dalam hidupnya?,Apa yang dibuat buku terbaik?
Mengapa karma memanggil jalang?,adalah karma pelacur?
Bagaimana saya keluar dari perlombaan tikus?,Apakah ada jalan keluar dari ras tikus?
Apa rahasia yang tidak pernah Anda katakan kepada siapa pun?,rahasia apa yang belum pernah Anda katakan kepada siapa pun sebelumnya?
Apa 5 momen Sedit Star Wars The Clone Wars?,Apa momen paling menyedihkan di Star Wars: The Clone Wars?
Bagaimana WhatsApp menghasilkan uang?,Apa itu model bisnis WhatsApp?
Bagaimana saya bisa mengurangi waktu tidur saya dan berkonsentrasi pada studi saya?,Bagaimana saya bisa mengurangi jam tidur saya di malam hari untuk menemukan lebih banyak waktu untuk studi saya?
Apakah ketinggian meningkat setelah 21? Bagaimana saya bisa menjadi lebih tinggi?,Apakah saya akan lebih tinggi bahkan setelah 21?
Apa cerita menggoda terbaik?,Apa cerita menggoda terbaik Anda?
Mengapa mengguncang soda menyebabkannya meledak?,Mengapa mengguncang soda membuatnya meledak?
Apakah perang dunia akan terjadi?,Apakah Anda pikir kami berada di ambang Perang Dunia III?
Yang merupakan topik penting untuk jee mains 2017?,Apa topik penting untuk jee mains 2017?
Bisakah Mahkamah Agung India mengganggu diblokir 500 dan 1000 catatan oleh pemerintah?,Apakah Mahkamah Agung memiliki kekuatan untuk mencabut keputusan pemerintah India (Narendra Modi Modi) untuk melarang 500 dan 1000 catatan bank denominasi?
Maukah Anda menikah dengan gadis non perawan?,Kenapa kamu menikah dengan non-perawan?
Apa cara terbaik untuk menghindari pertanyaan yang membutuhkan peningkatan pada Quora?,Apa cara terbaik untuk meningkatkan pertanyaan saya di Quora?
Berapa usia yang baik untuk menetap dan menikah untuk pria?,Kapan waktu yang tepat untuk menikah untuk pria?
Apa arti tipe data abstrak?,Apa itu tipe data abstrak?
Apa momen Anda yang paling memalukan selama masa kecil Anda?,Apa momen Anda yang paling memalukan di masa kanak-kanak?
Bagaimana rasanya tidak depresi?,Apa rasanya tidak depresi?
Apa perbedaan antara lancip dan potongan rambut fade?,Apa perbedaan antara fade atau lancip?
Bagaimana larangan Modi Rs 500 dan Rs 1000 memengaruhi mereka yang memiliki uang hitam?,Berapa banyak uang hitam yang akan dikontrol dengan melarang Rs 500 dan Rs 1000 catatan?
Bagaimana mungkin inti Bumi terlalu panas dan / atau berkembang?,Dalam keadaan apa inti Bumi terlalu panas atau berkembang?
Bagaimana saya meninggalkan seorang gadis tanpa menyakiti perasaannya?,Bagaimana saya putus dengan gadis saya tanpa menyakiti sentimennya?
Bagaimana Sunil Gavaskar lebih baik dari Tendulkar?,"Siapa yang merupakan batsman yang lebih baik, Sachin Tendulkar atau Sunil Gavaskar?"
Dalam dekade apa Korea Utara akan runtuh?,akankah Korea Utara akan runtuh?
"Mengapa sebagian besar bendera merah, biru dan putih?","Mengapa merah, putih dan biru warna-warna umum untuk bendera nasional?"
Mengapa bendera pada seragam tempur AS terbalik?,Mengapa tentara tempur memiliki bendera Amerika pada seragam mereka dijahit ke belakang?
Apa pilihan karier terbaik dalam bidang ekonomi keuangan?,Apa saja pilihan karier terbaik setelah mengejar ekonomi hons. dan MBA (Keuangan)?
Apa yang akan menjadi diet manusia yang sempurna?,Apa diet manusia yang sempurna?
"Mana yang lebih baik, pekerjaan pemerintah atau pekerjaan pribadi?",Mengapa pekerjaan pemerintah lebih baik daripada pekerjaan pribadi?
Apakah melewatkan latihan yang bagus untuk anak perempuan?,melewatkan yang baik untuk anak perempuan?
Apa artinya tertembak di kepala dalam mimpi?,Apa artinya memiliki mimpi di mana Anda ditembak di kepala?
Mengapa serigala memiliki mata biru?,Mengapa ada serigala dengan mata biru?
Bagaimana teman saya menghasilkan jutaan dari rumah hanya dengan menggunakan Uber App?,Bagaimana kabar teman-teman saya menghasilkan jutaan dari rumah hanya dengan menggunakan aplikasi Uber?
"Akan demonetisasi Rs. 500 & 1000 Catatan Mata Uang Curb / Hilangkan Korupsi, Uang Hitam dan Terorisme di India?",Bagaimana demonetisasi India pada 500 dan 1000 rupee akan mengurangi uang hitam?
Apa yang kebanyakan orang tidak tahu tentang pesawat terbang?,Apa beberapa fakta kebanyakan orang tidak tahu tentang pesawat terbang?
Apa yang benar-benar garansi atap?,Apa gunanya garansi atap Anda?
Mana situs terbaik untuk memesan hotel online?,Apa situs terbaik untuk memesan hotel online?
Apa saja gadget futuristik yang bertiup pikiran yang ada yang kebanyakan orang tidak tahu?,Apa saja alat teknologi yang meniup pikiran yang tidak diketahui kebanyakan orang?
Bagaimana kita bisa tertarik dengan studi?,Bagaimana saya harus mendapatkan minat pada studi saya?
Siapa yang akan paling terpengaruh oleh keputusan oleh Pemerintah India dari Banning 500 dan 1000 Rupee Notes?,Apa efeknya yang akan dimiliki Rupee 500 dan 1000 Catatan Mata Uang pada Ekonomi India?
Mengapa orang mengajukan pertanyaan yang jawabannya dapat dengan mudah ditemukan di internet?,Mengapa orang mengajukan pertanyaan bodoh di Quora yang dapat dengan mudah dijawab oleh Google?
Bagaimana saya menemukan seorang gadis yang menginginkan threesome online untuk saya dan pacar saya?,Bagaimana saya bisa dan pacar saya menemukan gadis lain untuk threesome?
Apa tangki terbaik di dunia tank?,Apa tangki terbaik di WOT?
Siapa yang melihat video saya di Instagram?,Bagaimana saya bisa melihat siapa yang melihat Instagram saya?
Apa buku teks kimia fisik terbaik?,Apa buku-buku terbaik untuk kimia fisik?
Apa yang harus dibaca buku fiksi?,Apa yang harus dibaca beberapa buku di genre fiksi?
Bagaimana rasanya memiliki perselingkuhan rahasia?,Bagaimana rasanya berselingkuh?
Bagaimana cara menghapus bintik jerawat dan jerawat?,Apa cara terbaik untuk menghilangkan jerawat dan bintik-bintik mereka?
Yang mana anggur terbaik yang tersedia di India?,Apa anggur terbaik yang tersedia di India?
Apa pertanyaan paling aneh yang pernah Anda lihat (menurut Anda) di Quora?,Apa yang diajukan beberapa pertanyaan aneh di Quora?
"Akan demonetisasi Rs. 500 & 1000 Catatan Mata Uang Curb / Hilangkan Korupsi, Uang Hitam dan Terorisme di India?",Bagaimana cara menggosok penggunaan 500 dan 1000 Rupee Catatan Mata Uang di India Memecahkan Masalah Korupsi?
Apa situasi paling canggung dalam hidup Anda yang telah Anda lalui?,Apa momen paling canggung yang pernah Anda alami?
Apa hal terburuk yang bisa terjadi jika Donald Trump menjadi presiden?,Apa yang menurut Anda akan menjadi hal terburuk yang dapat terjadi jika Trump terpilih sebagai presiden?
Apa alasan di balik penembakan Cyrus Mistry dari kelompok TATA?,Mengapa papan TATA SONS memilih untuk menghapus Cyrus Mistry sebagai Ketua?
"Jika Donald Trump memenangkan pemilihan presiden, bagaimana hal itu memengaruhi India?","Jika Mr Donald Trump memenangkan pemilihan presiden AS, akankah itu memengaruhi India secara ekonomi?"
Apa efek dari demonetisasi pada ekonomi India?,Bagaimana demonetisasi akan mempengaruhi ekonomi India & India?
Apakah ada yang bisa membuat bunuh diri terlihat seperti kecelakaan?,Bagaimana cara membuat bunuh diri terlihat seperti kecelakaan?
Bagaimana seseorang dapat belajar gitar sendiri?,Bagaimana saya bisa belajar bermain gitar tanpa bergabung dengan kelas apa pun?
Apa saja gejala penarikan ganja?,Apa saja gejala penarikan menghentikan penggunaan ganja berat?
Mengapa Anda membutuhkan konsultan penjualan?,Mengapa Anda membutuhkan konsultasi penjualan?
Bisakah kita melakukan perjalanan waktu?,adalah perjalanan waktu yang dimungkinkan dalam 5 tahun ke depan?
Bagaimana saya bisa belajar matematika ketika sudah Oktober 12 dan saya tidak tahu apa-apa tentang itu?,Bagaimana cara belajar matematika ketika sudah Oktober 12 dan saya tidak tahu apa-apa tentang itu?
Siapa yang membayar untuk tur post-victory Trump?,Siapa yang membayar untuk tur kemenangan Trump President-Drop?
Kualifikasi apa yang dibutuhkan insinyur perminyakan untuk direkrut?,Apa kualifikasi untuk menjadi insinyur perminyakan?
Berapa banyak aplikasi dengan 1 juta unduhan & 500.000 pengguna aktif bulanan hanya menghasilkan iklan?,Berapa banyak aplikasi gratis yang memiliki lebih dari 1 juta unduhan pada Android dan 100K + unduhan iOS dapatkan per bulan dalam iklan?
Apakah perang dunia akan terjadi?,Apakah akan ada WW3?
Mengapa pemurni air RO diperlukan?,benar-benar pemurni air RO diperlukan?
"Apa yang membuat kita ""manusia""?",Apa yang membuat kita lebih manusiawi?
Apa yang umum antara Donald Trump dan Arvind Kejriwal?,Seberapa mirip Donald Trump dan Arvind Kejriwal?
Siapa yang memenangkan perdebatan presiden kedua antara Trump dan Hillary?,Siapa yang menurut Anda memenangkan perdebatan presiden 2016 kedua?
Apakah ada cara untuk mengarah pada dasarnya dan mengubah warna mata Anda?,Apa cara untuk membuat mata Anda berubah warna atau lebih ringan?
Institusi mana yang menyediakan pelatihan Android online di Kanada?,Apa institusi online yang menyediakan pelatihan Android di Kanada?
Apakah payudara wanita aman untuk dihisap?,Apakah aman untuk mengisap payudara wanita?
Apa saja pidato Adolf Hitler yang paling terkenal?,Apa saja pidato paling terkenal Adolf Hitler?
Apa itu pembelian kembali saham?,Apa arti buy-back dari saham?
"Apa yang harus saya lakukan setelah Gerbang Btech (Mechanical Engineer), IES atau Cat. Saat ini saya mengejar pembinaan SSC CGL tetapi tidak tahu apa yang harus dilakukan setelah itu?","Apa yang harus saya lakukan setelah Gerbang Btech (Teknik Mesin), ies atau kucing. Saat ini saya mengejar pembinaan SSC CGL tetapi tidak tahu apa yang harus dilakukan setelah itu?"
Apakah tidak ada modal minimum yang diperlukan untuk mendaftarkan perusahaan terbatas pribadi di India sekarang?,"minimum satu rupee LAC masih diperlukan untuk membentuk perusahaan terbatas pribadi di India, sesuai aturan baru?"
Bagaimana saya bisa berhenti mengkhawatirkan apa yang dipikirkan orang lain?,Kapan saya akan berhenti memikirkan apa yang orang lain pikirkan?
Apa pro & kontra demonetisasi?,Apa pro dan kontra dari pelarangan dan mengganti ₹ 500 dan ₹ 1000 catatan di India?
Apa beberapa toastmasters yang berlokasi di Bangalore?,yang merupakan klub toastmasters terbaik di Bangalore?
Hotel mana yang merupakan hotel terbaik di Varanasi?,Hotel mana yang merupakan hotel terbaik di Varanasi untuk turis?
Apakah musik rock passé?,adalah musik rock mati? Bisakah itu membuat comeback?
Bagaimana cara menulis CV akan mengesankan pewawancara?,Bagaimana cara saya menulis CV dan apa yang saya sertakan dalam satu?
Bagaimana seseorang dapat mengendalikan kemarahan mereka?,Apa yang harus saya lakukan untuk mengendalikan kemarahan saya?
Bagaimana saya bisa mengerti pembelajaran mesin?,Bagaimana saya harus melakukan pembelajaran mesin belajar?
Akankah Donald Trump sebenarnya membuat Amerika hebat lagi?,Gagasan apa yang dimiliki Donald Trump dengannya untuk membuat Amerika hebat lagi?
Bagaimana cara menghapus akun Quora dengan semua jawaban dan pertanyaan juga dihapus?,Bagaimana cara saya berhenti berlangganan dan menghapus akun Quora saya?
Seberapa dekat kita (atau tidak menutup) sekarang ke Perang Dunia 3?,Apakah Perang Dunia 3 datang?
Apa cara untuk mengakhiri kesepian?,Apa cara terbaik untuk mengatasi kesepian?
Apa cara terbaik untuk memodifikasi atau mengedit file APK?,Apa cara terbaik untuk mengedit file APK?
Bagaimana saya bisa membuka blokir akun facebook saya di Chrome?,Bagaimana saya bisa membuka blokir akun Facebook pada Chrome?
Apa satu film yang telah Anda tonton berkali-kali dan masih menyukainya?,Film mana yang telah Anda tonton lebih dari 5 kali dan masih bosan dengan itu?
Apa yang Made Tata Group Chairman Cyrus Mistry to Qit?,Mengapa papan TATA SONS memilih untuk menghapus Cyrus Mistry sebagai Ketua?
Apa status kesehatan sebenarnya dari tamilnadu cm j jayalalitha?,Apa yang terjadi dengan tamilnadu cm jayalalitha?
Bagaimana Impress Bengali Girl?,Apa saja cara baik untuk mengesankan seorang gadis Bengali?
Sedang menjadi transgender dianggap sebagai penyakit mental? Bagaimana kami bisa tahu?,adalah transgender penyakit mental?
Apa persiapan yang harus Anda lakukan sebelum hamil?,Bagaimana seharusnya Anda mempersiapkan tubuh Anda sebelum hamil?
Apa saja mixer yang bagus dengan wiski Jack Daniel?,Apa saja chaser yang bagus untuk wiski Jack Daniel?
"Mengapa segmentasi pasar, penargetan dan posisi penting bagi pemasar?","Mengapa segmentasi, penargetan dan posisi penting dalam pemasaran?"
Apa yang akan terjadi sekarang presiden Trump?,Apa yang akan terjadi pada negara ini jika Trump terpilih sebagai presiden?
Apa beberapa tips untuk melamar beasiswa?,Bagaimana Anda mendaftar untuk beasiswa?
Apa cara terbaik untuk meningkatkan keterampilan teknis dan komunikasi?,Apa cara terbaik untuk keterampilan komunikasi yang lebih baik?
Di mana tempat paling indah yang telah Anda kunjungi dan mengapa?,Apa tempat paling indah yang telah Anda kunjungi?
Mana yang terbaik untuk pemasaran digital?,yang merupakan kursus tentang Coursera atau moocs lain untuk mempelajari pemasaran digital?
Yang merupakan bubuk protein terbaik untuk mendapatkan massa otot?,Apa salah satu bubuk protein terbaik untuk mendapatkan otot dan berat?
Yang merupakan universitas terbaik di Inggris untuk ekonomi di tingkat sarjana?,Apa universitas-universitas terbaik untuk ekonomi?
Bagaimana cara membuat uang cepat?,Bagaimana cara membuat uang cepat secara legal?
Apa perbedaan antara sarjana teknik dan bachelor teknologi?,Apa perbedaan antara B.E. dan b.tech dalam istilah teknik?
Siapa musisi atau band favorit Anda dan mengapa?,Siapa musisi favorit Anda?
Bahasa mana yang harus saya pelajari sebagai bahasa pemrograman pertama?,Bahasa pemrograman apa yang harus saya pelajari terlebih dahulu.?
Apa saja ide proyek aplikasi Android yang bagus?,Apa saja ide proyek Android yang bagus?
Apa bahasa scripting dan bahasa pemrograman?,"Apa perbedaan antara bahasa scripting, bahasa pemrograman dan protokol jaringan?"
Apakah Anda akan menikahi seorang gadis non-perawan?,Apakah Anda akan menikah dengan seorang gadis yang tidak perawan?
Alat apa yang Anda gunakan untuk mengukur volume?,Instrumen ilmiah apa yang dapat mengukur volume?
